"Country","HIV","Agriculture_Land"
"Afghanistan",0.013400630775573,58.123668031216
"Albania",0,43.1021897810219
"Algeria",0.054586680849873,17.344042590711
"Angola",3.8142680250338,46.274163792412
"Argentina",0.021762722487566,51.5220942086974
"Armenia",0.084914872839978,61.3412921348315
"Australia",0,54.3181078583237
"Austria",0,38.4596725288053
"Azerbaijan",0.060346388268662,57.5647542967804
"Bahamas",0.17711654268509,1.2987012987013
"Bahrain",0,9.21052631578947
"Bangladesh",0.017495052544932,69.0020742106476
"Barbados",0.34977264777894,44.1860465116279
"Belarus",0,43.9477575160177
"Belgium",0,45.3434610303831
"Belize",0.80699394754539,6.66374397194213
"Benin",1.55082310667907,30.6906526848671
"Bhutan",0,13.0763219588434
"Bolivia",0.10655057727581,33.9878150096926
"Bosnia and Herzegovina",0,41.7647058823529
"Botswana",0,45.6160782030244
"Brazil",0.047989250407909,31.290561291436
"Brunei",0,2.08728652751423
"Bulgaria",0,46.9662093729859
"Burkina Faso",1.38043363652003,45.1754385964912
"Burundi",3.94571844506263,85.2803738317757
"Cambodia",0.29615278162192,31.4695218672105
"Cameroon",6.19349782120073,19.4897505870407
"Canada",0,7.43387316888638
"Cape Verde",0,23.0769230769231
"Central African Rep.",11.4190694562626,8.36302931073229
"Chad",5.7179658486966,39.09625158831
"Chile",0.011941771920118,21.1652522426802
"China",0.065678692227498,56.0219909343145
"Colombia",0.052260881967709,38.408292023434
"Comoros",0,80.6451612903226
"Congo, Dem. Rep.",2.17631966016011,9.90273703711872
"Congo, Rep.",5.81395348837209,30.8931185944363
"Costa Rica",0,35.2526439482961
"Cote d'Ivoire",4.49803981326278,63.8364779874214
"Croatia",0,23.0164403145104
"Cuba",0.008510058889608,61.3491168733559
"Cyprus",0,12.4458874458874
"Czech Rep.",0,54.9385113268608
"Denmark",0,62.880037709168
"Djibouti",5.62401786452733,73.3822260569456
"Dominican Rep.",0.4282311377566,50.6415562913907
"Ecuador",0.22788857672902,29.9766468030279
"Egypt",0.016376480396609,3.55818976342358
"El Salvador",0.70775961909664,74.9517374517375
"Equatorial Guinea",4.26907117778487,11.0516934046346
"Eritrea",2.46643668563644,74.970297029703
"Estonia",0.062758880381574,21.3965557914602
"Ethiopia",2.93557575110973,34.513
"Fiji",0.11314137014199,23.4263820470717
"Finland",0,7.55511681474169
"France",0,53.5350399883139
"Gabon",7.43456821342774,19.9479954981178
"Gambia",1.37488542621448,65.5
"Georgia",0.076666538889102,36.3073823571737
"Germany",0.003003444951359,48.5385652410865
"Ghana",1.89949967945117,68.1198910081744
"Greece",0,63.8401861908456
"Grenada",0,35.2941176470588
"Guatemala",0.94330869390406,39.3617021276596
"Guinea",2.58560678887526,57.9521406478919
"Guinea-Bissau",3.55477586445686,57.9658605974396
"Guyana",3.52371164293055,8.50901701803404
"Haiti",3.19564835422279,64.2235123367199
"Honduras",0.41678450752445,28.4565197962284
"Hungary",0,64.6133244057583
"Iceland",0,22.7531172069825
"India",0.31899269501155,60.4428240374816
"Indonesia",0.15048398968841,28.7043834905634
"Iran",0.17439355003293,29.6546007184305
"Iraq",0,21.6064201934289
"Ireland",0,60.9667586006677
"Israel",0,23.7985212569316
"Italy",0,49.1160671788944
"Jamaica",1.16412213740458,41.4589104339797
"Japan",0,12.6968449931413
"Jordan",0,11.0154125113327
"Kazakhstan",0.052585566576614,76.9715153535578
"Kenya",5.8786352271988,47.7914045753242
"Korea, Dem. Rep.",0.042789901583226,24.4996262768873
"Korea, Rep.",0,18.6024940739977
"Kuwait",0,8.47362514029181
"Kyrgyzstan",0.099782972035822,55.9280500521376
"Laos",0.058892121411998,9.86568457538995
"Latvia",0,29.34555394758
"Lebanon",0.090995950680195,67.1554252199414
"Lesotho",13.0419397779163,77.7997364953887
"Liberia",3.90552480489566,27.0971760797342
"Libya",0,8.83753708355593
"Lithuania",0,42.6360299984043
"Luxembourg",0,50.5791505791506
"Macedonia, FYR",0,42.1323820848197
"Madagascar",0.11786378438785,70.2359253017849
"Malawi",12.8505804727303,58.0398812049215
"Malaysia",0.23790800769296,23.9537361132248
"Maldives",0,26.6666666666667
"Mali",2.05771180971697,33.1923716798204
"Malta",0,28.125
"Mauritania",0.62058872566273,38.4796740079558
"Mauritius",0.11054609772275,48.2758620689655
"Mexico",0.038562168072477,52.9344890557885
"Micronesia, Fed. Sts.",0,31.4285714285714
"Moldova",0,75.4332623897841
"Mongolia",0.040291711994843,74.5545714359278
"Montenegro",0,38.1412639405204
"Morocco",0.034031968393583,67.1767869146314
"Mozambique",17.6885541227086,62.3744245784481
"Myanmar",0.65018995745816,18.7859591137226
"Namibia",7.50753306889566,47.1377036038334
"Nepal",0.38128661683975,29.3686780606906
"Netherlands",0,57.1386255924171
"New Zealand",0,43.1962325775702
"Nicaragua",0.17860970207902,42.7621738407844
"Niger",0.72982729528787,34.5638272677035
"Nigeria",4.88676595033804,85.0928335364582
"Norway",0,3.35221134644973
"Oman",0,5.7092084006462
