"Country","Infections","Agriculture_Land"
"Afghanistan",38.4803054082581,58.123668031216
"Albania",2.14867064568638,43.1021897810219
"Algeria",4.26196008174006,17.344042590711
"Angola",33.1315256813593,46.274163792412
"Argentina",1.30576334925397,51.5220942086974
"Armenia",1.74075489321955,61.3412921348315
"Australia",0.4714192713205,54.3181078583237
"Austria",0.3822831531769,38.4596725288053
"Azerbaijan",3.85613421036751,57.5647542967804
"Bahamas",1.77116542685087,1.2987012987013
"Bahrain",1.28792215226102,9.21052631578947
"Bangladesh",3.88565117022949,69.0020742106476
"Barbados",1.74886323889472,44.1860465116279
"Belarus",0.76839208763823,43.9477575160177
"Belgium",0.49601506540673,45.3434610303831
"Belize",2.15198386012105,6.66374397194213
"Benin",11.2829696214236,30.6906526848671
"Bhutan",9.2228400922284,13.0763219588434
"Bolivia",5.87169788344889,33.9878150096926
"Bosnia and Herzegovina",1.33868808567604,41.7647058823529
"Botswana",2.5414575258911,45.6160782030244
"Brazil",4.04430213001415,31.290561291436
"Brunei",0.51446945337621,2.08728652751423
"Bulgaria",1.19684692740504,46.9662093729859
"Burkina Faso",23.7975659972142,45.1754385964912
"Burundi",22.895977168884,85.2803738317757
"Cambodia",15.3362856352062,31.4695218672105
"Cameroon",14.978268802349,19.4897505870407
"Canada",0.74765296441568,7.43387316888638
"Cape Verde",1.91093386507145,23.0769230769231
"Central African Rep.",17.0831357622131,8.36302931073229
"Chad",18.8512305664398,39.09625158831
"Chile",0.76427340288752,21.1652522426802
"China",0.76294265908264,56.0219909343145
"Colombia",1.62117610937332,38.408292023434
"Comoros",13.7541961954495,80.6451612903226
"Congo, Dem. Rep.",20.0224180675071,9.90273703711872
"Congo, Rep.",12.5715748056684,30.8931185944363
"Costa Rica",0.49048199798505,35.2526439482961
"Cote d'Ivoire",8.62343635280591,63.8364779874214
"Croatia",0.3557031064738,23.0164403145104
"Cuba",0.42550294448038,61.3491168733559
"Cyprus",0.30238887208951,12.4458874458874
"Czech Rep.",0.40332930004033,54.9385113268608
"Denmark",0.30483402589485,62.880037709168
"Djibouti",11.7856256719874,73.3822260569456
"Dominican Rep.",3.47491725325411,50.6415562913907
