"Country","Pneumonia","Energy_Production_per_Person"
"Albania",2.30059685295713,0.000362527216817
"Algeria",5.18433502225457,0.004706747653394
"Angola",38.6596938762321,0.005864105117407
"Argentina",0.92273943347281,0.002086386721477
"Armenia",2.58990362161933,0.000258865371456
"Australia",0.11224268364774,0.013992916970522
"Austria",0.039546533087266,0.001345537165453
"Azerbaijan",6.47516746122744,0.006555938660047
"Bahrain",0.14310246136234,0.016622412123619
"Bangladesh",5.80281734494499,0.000160813647121
"Belarus",0.10383676859976,0.000416531156354
"Belgium",0.042035175034469,0.001371882087879
"Benin",16.4065380361313,0.0002321532603
"Bolivia",8.6305967593403,0.001680905978147
"Bosnia and Herzegovina",1.42599383039404,0.001152223909719
"Botswana",2.16023889700743,0.000530446761905
"Brazil",1.66931734808182,0.001191397585079
"Brunei",0.12861736334405,0.054917269525208
"Bulgaria",2.03601546271203,0.001349447171389
"Cambodia",23.62856352062,0.000261025965799
"Cameroon",20.3865753591931,0.000495881874608
"Canada",0.022656150436839,0.012184057353176
"Chile",0.41796201720411,0.000539191798706
"China",3.10796424454201,0.001497995339858
"Colombia",1.91405480206735,0.002079636278734
"Congo, Dem. Rep.",30.5325763626252,0.000362710778845
"Congo, Rep.",17.393877355171,0.003452943548524
"Costa Rica",0.34466302561111,0.00059047319357
"Cote d'Ivoire",12.5105628437253,0.000601209079451
"Croatia",0.11856770215793,0.000895155630324
"Cuba",0.35742247336352,0.000505826222907
"Cyprus",0.1007962906965,7.6948860772e-05
"Czech Rep.",0.18333150001833,0.00316256053202
"Denmark",0.048131688299187,0.004842909407361
"Dominican Rep.",4.08603877276093,0.000194718171272
"Ecuador",3.03020591869363,0.002030823789869
"Egypt",1.46792815191419,0.00111700021876
"El Salvador",1.8498262771844,0.000507348406787
"Eritrea",9.50319702928962,0.000110275630968
"Estonia",0.062758880381574,0.003148217964527
"Ethiopia",12.7681380108565,0.000372341011368
"Finland",0.08473140145738,0.003105915655412
"France",0.06518228425329,0.002210556443689
"Gabon",6.06903527626754,0.009315025063607
"Georgia",4.08249319584467,0.000245451884812
"Germany",0.060068899027184,0.001619068047682
"Ghana",5.43148516552877,0.000294805842253
"Greece",0.25306964101603,0.000873416894214
"Guatemala",5.91832316386178,0.000393332961309
"Haiti",12.8301803912381,0.000204309384684
"Honduras",4.10830443131242,0.00028455476039
"Hungary",0.34483458082314,0.001047357353696
"Iceland",0,0.014018708194653
"India",7.56471575911604,0.000393236635946
"Indonesia",7.26707329731513,0.001378172511551
"Iran",3.69685500689647,0.004769087429561
"Iraq",6.01127047009724,0.003955705711546
"Ireland",0,0.000348353475618
"Israel",0.071483716009493,0.000549924820129
"Italy",0.054955119985345,0.000450335597824
"Jamaica",6.27862595419847,0.000181491110113
"Japan",0.2089197109944,0.000700872285069
"Jordan",1.17899727874682,4.7101087511e-05
"Kazakhstan",4.27257728434988,0.009084521867771
"Kenya",18.6987735527139,0.000393453557051
"Korea, Dem. Rep.",9.22122379118528,0.000862664643262
"Korea, Rep.",0.17269436418585,0.000937088488652
"Kuwait",0.3486412675047,0.060153133536157
"Kyrgyzstan",7.00143853784685,0.000228701232719
"Latvia",0.30265035237148,0.000787664923974
"Lebanon",0.57630768764123,3.9791068452e-05
"Libya",0.899415380003,0.016349233123348
"Lithuania",0.2864782276547,0.001146803722485
"Luxembourg",0,0.000208005242604
"Macedonia, FYR",0.62941150024727,0.000791222416888
"Malaysia",0.17797698285428,0.003385857389031
"Malta",0.54347826086957,2.191107053e-06
"Mexico",1.90174945329585,0.00210930015033
"Moldova",2.67076183481338,2.7942875205e-05
"Mongolia",9.9117611507313,0.001914705447926
"Morocco",3.41557210059231,2.0217165532e-05
"Mozambique",16.0559224825128,0.000516198836694
"Myanmar",14.0344924301414,0.00048660132742
"Namibia",3.91549343729252,0.000147017253963
"Nepal",5.23004975858681,0.00029900930478
"Netherlands",0.064838929293148,0.004035977309457
"New Zealand",0.17164140677297,0.003503843907009
"Nicaragua",4.08658998356791,0.000300124548028
"Nigeria",26.7711229408918,0.001514915681224
"Norway",0,0.045823006642242
"Oman",0.37478205608695,0.024056725862289
"Pakistan",9.78483701588048,0.000377815318281
"Panama",2.73726530088533,0.000204879689839
"Paraguay",3.44858998217144,0.001208979843801
"Peru",2.41727166882064,0.00044437739523
"Philippines",6.05823147945636,0.000254834136361
"Poland",0.26596173374813,0.001867107969965
"Portugal",0.086014928368679,0.000421913277137
"Qatar",0.26704052339943,0.095367656117932
"Romania",3.26303223239156,0.001340226037197
"Russia",0.5603875863149,0.008758698749887
"Saudi Arabia",1.25799367786219,0.02213965133237
"Senegal",13.4021232433904,0.000104380432782
"Serbia",0.34929311805234,0.001096556573482
"Singapore",0.32271077047196,6.775468671e-06
"Slovak Republic",0.76431730086805,0.001179875632753
"Slovenia",0,0.00181952677968
"South Africa",3.78064905112673,0.003284120660682
"Spain",0.067171880629462,0.000674164002695
"Sri Lanka",1.00962840749588,0.0002477254954
"Sudan",10.123761440352,0.000823217208601
"Sweden",0.074562180198149,0.00359787664049
"Switzerland",0.041341675164678,0.001690749252232
"Syria",1.32832500588766,0.00120615809917
"Tajikistan",12.1139834573599,0.000222377296524
"Tanzania",12.4304706010535,0.000413324728805
"Thailand",0.48934146718495,0.000943237123957
"Togo",9.05753674483316,0.00037013074802
"Trinidad and Tobago",0.85932366172977,0.032103501021757
"Tunisia",1.43650056237469,0.000736968038
"Turkey",1.85224884670249,0.000408588874274
"Turkmenistan",9.86744015831278,0.013909086417604
"Ukraine",0.12207430401297,0.001767466086839
"United Arab Emirates",0.12786497458684,0.030131013757401
"United Kingdom",0.15343347783896,0.002722567883522
"United States",0.17868087141706,0.005579862997973
"Uruguay",0.95321312256732,0.000413863316644
"Uzbekistan",6.31312218503069,0.002313162208795
"Venezuela",1.31991144897874,0.007412662147017
"Vietnam",0.65606914165403,0.000830691957149
"Yemen, Rep.",8.73684596313973,0.000674913790608
"Zambia",18.7992655787991,0.00056819834095
"Zimbabwe",11.3477505718885,0.000685276997397
