"Country","Pneumonia","Agriculture_Land"
"Afghanistan",57.3200157339171,58.123668031216
"Albania",2.30059685295713,43.1021897810219
"Algeria",5.18433502225457,17.344042590711
"Angola",38.6596938762321,46.274163792412
"Argentina",0.92273943347281,51.5220942086974
"Armenia",2.58990362161933,61.3412921348315
"Australia",0.11224268364774,54.3181078583237
"Austria",0.039546533087266,38.4596725288053
"Azerbaijan",6.47516746122744,57.5647542967804
"Bahamas",0.88558271342543,1.2987012987013
"Bahrain",0.14310246136234,9.21052631578947
"Bangladesh",5.80281734494499,69.0020742106476
"Barbados",0.34977264777894,44.1860465116279
"Belarus",0.10383676859976,43.9477575160177
"Belgium",0.042035175034469,45.3434610303831
"Belize",2.01748486886348,6.66374397194213
"Benin",16.4065380361313,30.6906526848671
"Bhutan",15.3940051539401,13.0763219588434
"Bolivia",8.6305967593403,33.9878150096926
"Bosnia and Herzegovina",1.42599383039404,41.7647058823529
"Botswana",2.16023889700743,45.6160782030244
"Brazil",1.66931734808182,31.290561291436
"Brunei",0.12861736334405,2.08728652751423
"Bulgaria",2.03601546271203,46.9662093729859
"Burkina Faso",26.9593833415651,45.1754385964912
"Burundi",24.1931996713703,85.2803738317757
"Cambodia",23.62856352062,31.4695218672105
"Cameroon",20.3865753591931,19.4897505870407
"Canada",0.022656150436839,7.43387316888638
"Cape Verde",2.65869059488202,23.0769230769231
"Central African Rep.",27.8266743746468,8.36302931073229
"Chad",32.8572374400366,39.09625158831
"Chile",0.41796201720411,21.1652522426802
"China",3.10796424454201,56.0219909343145
"Colombia",1.91405480206735,38.408292023434
"Comoros",19.9552405818724,80.6451612903226
"Congo, Dem. Rep.",30.5325763626252,9.90273703711872
"Congo, Rep.",17.393877355171,30.8931185944363
"Costa Rica",0.34466302561111,35.2526439482961
"Cote d'Ivoire",12.5105628437253,63.8364779874214
"Croatia",0.11856770215793,23.0164403145104
"Cuba",0.35742247336352,61.3491168733559
"Cyprus",0.1007962906965,12.4458874458874
"Czech Rep.",0.18333150001833,54.9385113268608
"Denmark",0.048131688299187,62.880037709168
"Djibouti",14.3495161690514,73.3822260569456
"Dominican Rep.",4.08603877276093,50.6415562913907
"Ecuador",3.03020591869363,29.9766468030279
"Egypt",1.46792815191419,3.55818976342358
"El Salvador",1.8498262771844,74.9517374517375
"Equatorial Guinea",14.044047239068,11.0516934046346
"Eritrea",9.50319702928962,74.970297029703
"Estonia",0.062758880381574,21.3965557914602
"Ethiopia",12.7681380108565,34.513
"Fiji",1.58397918198789,23.4263820470717
"Finland",0.08473140145738,7.55511681474169
"France",0.06518228425329,53.5350399883139
"Gabon",6.06903527626754,19.9479954981178
"Gambia",11.5719523373052,65.5
"Georgia",4.08249319584467,36.3073823571737
"Germany",0.060068899027184,48.5385652410865
"Ghana",5.43148516552877,68.1198910081744
"Greece",0.25306964101603,63.8401861908456
"Grenada",0.49701789264414,35.2941176470588
"Guatemala",5.91832316386178,39.3617021276596
"Guinea",17.0257362222092,57.9521406478919
"Guinea-Bissau",30.2848437283597,57.9658605974396
"Guyana",8.8826897665541,8.50901701803404
"Haiti",12.8301803912381,64.2235123367199
"Honduras",4.10830443131242,28.4565197962284
"Hungary",0.34483458082314,64.6133244057583
"Iceland",0,22.7531172069825
"India",7.56471575911604,60.4428240374816
"Indonesia",7.26707329731513,28.7043834905634
"Iran",3.69685500689647,29.6546007184305
"Iraq",6.01127047009724,21.6064201934289
"Ireland",0,60.9667586006677
"Israel",0.071483716009493,23.7985212569316
"Italy",0.054955119985345,49.1160671788944
"Jamaica",6.27862595419847,41.4589104339797
"Japan",0.2089197109944,12.6968449931413
"Jordan",1.17899727874682,11.0154125113327
"Kazakhstan",4.27257728434988,76.9715153535578
"Kenya",18.6987735527139,47.7914045753242
"Korea, Dem. Rep.",9.22122379118528,24.4996262768873
"Korea, Rep.",0.17269436418585,18.6024940739977
"Kuwait",0.3486412675047,8.47362514029181
"Kyrgyzstan",7.00143853784685,55.9280500521376
"Laos",15.5239632042025,9.86568457538995
"Latvia",0.30265035237148,29.34555394758
"Lebanon",0.57630768764123,67.1554252199414
"Lesotho",8.55982610746963,77.7997364953887
"Liberia",19.5826314160965,27.0971760797342
"Libya",0.899415380003,8.83753708355593
"Lithuania",0.2864782276547,42.6360299984043
"Luxembourg",0,50.5791505791506
"Macedonia, FYR",0.62941150024727,42.1323820848197
"Madagascar",19.3689485677368,70.2359253017849
"Malawi",10.4284640440992,58.0398812049215
"Malaysia",0.17797698285428,23.9537361132248
"Maldives",3.14410480349345,26.6666666666667
"Mali",25.1369042131465,33.1923716798204
"Malta",0.54347826086957,28.125
"Mauritania",16.5891702636113,38.4796740079558
"Mauritius",1.05018792836613,48.2758620689655
"Mexico",1.90174945329585,52.9344890557885
"Micronesia, Fed. Sts.",10.0430416068867,31.4285714285714
"Moldova",2.67076183481338,75.4332623897841
"Mongolia",9.9117611507313,74.5545714359278
"Montenegro",0.39562178557299,38.1412639405204
"Morocco",3.41557210059231,67.1767869146314
"Mozambique",16.0559224825128,62.3744245784481
"Myanmar",14.0344924301414,18.7859591137226
"Namibia",3.91549343729252,47.1377036038334
"Nepal",5.23004975858681,29.3686780606906
"Netherlands",0.064838929293148,57.1386255924171
"New Zealand",0.17164140677297,43.1962325775702
"Nicaragua",4.08658998356791,42.7621738407844
"Niger",28.4746483041951,34.5638272677035
"Nigeria",26.7711229408918,85.0928335364582
"Norway",0,3.35221134644973
"Oman",0.37478205608695,5.7092084006462
"Pakistan",9.78483701588048,34.0909090909091
"Panama",2.73726530088533,29.9973096583266
"Papua New Guinea",13.4458492827592,2.62774367354149
"Paraguay",3.44858998217144,52.4465139692927
"Peru",2.41727166882064,16.7421875
"Philippines",6.05823147945636,39.5747392427139
"Poland",0.26596173374813,53.099730458221
"Portugal",0.086014928368679,40.8002623811086
"Qatar",0.26704052339943,5.52200172562554
"Romania",3.26303223239156,58.9212701174424
"Russia",0.5603875863149,13.1584362579663
"Rwanda",13.8186185351619,81.0701256586948
"Saint Lucia",0,18.0327868852459
"Saint Vincent and the Grenadines",0,25.6410256410256
"Samoa",3.79867046533713,23.321554770318
"Sao Tome and Principe",22.1531286436067,57.2916666666667
"Saudi Arabia",1.25799367786219,80.7232670757179
"Senegal",13.4021232433904,48.3249363735522
"Serbia",0.34929311805234,57.8092842442259
"Sierra Leone",31.2717040143745,47.6682490924323
"Singapore",0.32271077047196,0
"Slovak Republic",0.76431730086805,40.2702702702703
"Slovenia",0,24.428997020854
"Solomon Islands",7.32647814910026,3.03679885673455
"Somalia",33.0042520039561,70.1804444161061
"South Africa",3.78064905112673,81.8282872364076
"Spain",0.067171880629462,56.4194065757819
"Sri Lanka",1.00962840749588,42.1782809759209
"Sudan",10.123761440352,56.8371212121212
"Suriname",2.45549416820135,0.455128205128205
"Swaziland",7.56278538812785,71.1627906976744
"Sweden",0.074562180198149,7.53765170346542
"Switzerland",0.041341675164678,38.125
"Syria",1.32832500588766,75.6806795905032
"Tajikistan",12.1139834573599,33.7739354101172
"Tanzania",12.4304706010535,39.4558591104087
"Thailand",0.48934146718495,38.6247528822251
"Togo",9.05753674483316,62.6034197462769
"Tonga",2.09716882209018,41.6666666666667
"Trinidad and Tobago",0.85932366172977,10.5263157894737
"Tunisia",1.43650056237469,63.6006694129763
"Turkey",1.85224884670249,50.8322180788171
"Turkmenistan",9.86744015831278,69.399697827336
"Uganda",16.0620018790516,68.8754316600771
"Ukraine",0.12207430401297,71.2766691983705
"United Arab Emirates",0.12786497458684,6.80622009569378
"United Kingdom",0.15343347783896,73.0955234985326
"United States",0.17868087141706,44.2049233554379
"Uruguay",0.95321312256732,85.0759913152783
"Uzbekistan",6.31312218503069,62.5763986835919
"Vanuatu",6.22700254741013,15.3404429860541
"Venezuela",1.31991144897874,24.2049770421178
"Vietnam",0.65606914165403,33.0248008514206
"Yemen, Rep.",8.73684596313973,44.5423035399739
"Zambia",18.7992655787991,31.0563768681311
"Zimbabwe",11.3477505718885,42.5229417086726
