"Country","Pneumonia","Energy_Consumption_per_Person"
"Albania",2.30059685295713,0.65565127521023
"Algeria",5.18433502225457,1.08761925022252
"Angola",38.6596938762321,0.657618232301606
"Argentina",0.92273943347281,1.93017265469479
"Armenia",2.58990362161933,0.973201146963369
"Australia",0.11224268364774,5.77881731283578
"Austria",0.039546533087266,4.02380085897368
"Azerbaijan",6.47516746122744,1.5154813200356
"Bahrain",0.14310246136234,8.78470750000713
"Bangladesh",5.80281734494499,0.191053023028177
"Belarus",0.10383676859976,2.93119579254322
"Belgium",0.042035175034469,5.46958157597596
"Benin",16.4065380361313,0.392489450668862
"Bolivia",8.6305967593403,0.617864844560453
"Bosnia and Herzegovina",1.42599383039404,1.5775687013071
"Botswana",2.16023889700743,1.10067208165245
"Brazil",1.66931734808182,1.29654122948752
"Brunei",0.12861736334405,9.43350966349966
"Bulgaria",2.03601546271203,2.59611957664531
"Cambodia",23.62856352062,0.254186246856969
"Cameroon",20.3865753591931,0.340917516055683
"Canada",0.022656150436839,7.94584649320339
"Chile",0.41796201720411,1.80463244137912
"China",3.10796424454201,1.57483130701956
"Colombia",1.91405480206735,0.648981524196158
"Congo, Dem. Rep.",30.5325763626252,0.355988687361025
"Congo, Rep.",17.393877355171,0.328359146571771
"Costa Rica",0.34466302561111,1.01446090377
"Cote d'Ivoire",12.5105628437253,0.541320704205776
"Croatia",0.11856770215793,2.04319418132612
"Cuba",0.35742247336352,0.932904821687944
"Cyprus",0.1007962906965,2.40126239437104
"Denmark",0.048131688299187,3.4950989520391
"Ecuador",3.03020591869363,0.784493844234154
"Egypt",1.46792815191419,0.917523723273246
"El Salvador",1.8498262771844,0.733985161905421
"Eritrea",9.50319702928962,0.13688552307307
"Estonia",0.062758880381574,4.05787234042553
"Ethiopia",12.7681380108565,0.395909373838486
"Finland",0.08473140145738,6.63882253149067
"France",0.06518228425329,4.11362153930258
"Gabon",6.06903527626754,1.37170880708262
"Georgia",4.08249319584467,0.685393389146155
"Germany",0.060068899027184,4.06895399234518
"Ghana",5.43148516552877,0.385049356572956
"Greece",0.25306964101603,2.7069802922357
"Guatemala",5.91832316386178,0.595795468008332
"Haiti",12.8301803912381,0.284842587537072
"Honduras",4.10830443131242,0.636409173431021
"Hungary",0.34483458082314,2.63577998339939
"Iceland",0,16.8684683095264
"India",7.56471575911604,0.525737714602009
"Indonesia",7.26707329731513,0.795563970713674
"Iran",3.69685500689647,2.81920322057108
"Iraq",6.01127047009724,0.942801998204537
"Ireland",0,3.37930506997451
"Israel",0.071483716009493,3.13097526269702
"Italy",0.054955119985345,2.94163598821965
"Jamaica",6.27862595419847,1.58665972015481
"Japan",0.2089197109944,3.87890711210076
"Jordan",1.17899727874682,1.22152652496976
"Kazakhstan",4.27257728434988,4.47904226611218
"Kenya",18.6987735527139,0.461009577376067
"Kuwait",0.3486412675047,10.9350650675672
"Latvia",0.30265035237148,1.97895850745821
"Lebanon",0.57630768764123,1.30190752631143
